group,letter,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
JLRTVX,T,0.5,2,8,9,7,4,30,0.06666666666666667,0.26666666666666666,0.3,0.23333333333333334,0.13333333333333333
JLRTVX,T,0.55,2,8,7,6,7,30,0.06666666666666667,0.26666666666666666,0.23333333333333334,0.2,0.23333333333333334
JLRTVX,T,0.6,0,5,8,9,8,30,0.0,0.16666666666666666,0.26666666666666666,0.3,0.26666666666666666
JLRTVX,T,0.65,0,4,6,13,7,30,0.0,0.13333333333333333,0.2,0.43333333333333335,0.23333333333333334
JLRTVX,V,0.05,22,0,0,0,8,30,0.7333333333333333,0.0,0.0,0.0,0.26666666666666666
JLRTVX,V,0.1,19,0,2,0,9,30,0.6333333333333333,0.0,0.06666666666666667,0.0,0.3
JLRTVX,V,0.15,17,1,3,0,9,30,0.5666666666666667,0.03333333333333333,0.1,0.0,0.3
JLRTVX,V,0.2,15,1,4,0,10,30,0.5,0.03333333333333333,0.13333333333333333,0.0,0.3333333333333333
JLRTVX,V,0.25,11,0,10,0,9,30,0.36666666666666664,0.0,0.3333333333333333,0.0,0.3
JLRTVX,V,0.3,7,0,12,3,8,30,0.23333333333333334,0.0,0.4,0.1,0.26666666666666666
JLRTVX,V,0.35,4,4,10,6,6,30,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.2,0.2
JLRTVX,V,0.4,2,4,11,7,6,30,0.06666666666666667,0.13333333333333333,0.36666666666666664,0.23333333333333334,0.2
JLRTVX,V,0.45,1,7,8,8,6,30,0.03333333333333333,0.23333333333333334,0.26666666666666666,0.26666666666666666,0.2
JLRTVX,V,0.5,0,6,7,9,8,30,0.0,0.2,0.23333333333333334,0.3,0.26666666666666666
JLRTVX,V,0.55,0,4,8,10,8,30,0.0,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666
JLRTVX,V,0.6,0,5,12,8,5,30,0.0,0.16666666666666666,0.4,0.26666666666666666,0.16666666666666666
JLRTVX,V,0.65,0,5,11,8,6,30,0.0,0.16666666666666666,0.36666666666666664,0.26666666666666666,0.2
JLRTVX,X,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
JLRTVX,X,0.1,27,0,1,0,2,30,0.9,0.0,0.03333333333333333,0.0,0.06666666666666667
JLRTVX,X,0.15,23,0,2,0,5,30,0.7666666666666667,0.0,0.06666666666666667,0.0,0.16666666666666666
JLRTVX,X,0.2,15,0,7,0,8,30,0.5,0.0,0.23333333333333334,0.0,0.26666666666666666
JLRTVX,X,0.25,12,0,10,1,7,30,0.4,0.0,0.3333333333333333,0.03333333333333333,0.23333333333333334
JLRTVX,X,0.3,8,3,10,4,5,30,0.26666666666666666,0.1,0.3333333333333333,0.13333333333333333,0.16666666666666666
JLRTVX,X,0.35,4,4,8,8,6,30,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.2
JLRTVX,X,0.4,4,3,8,10,5,30,0.13333333333333333,0.1,0.26666666666666666,0.3333333333333333,0.16666666666666666
JLRTVX,X,0.45,4,10,6,5,5,30,0.13333333333333333,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666
JLRTVX,X,0.5,2,6,9,10,3,30,0.06666666666666667,0.2,0.3,0.3333333333333333,0.1
JLRTVX,X,0.55,0,5,9,8,8,30,0.0,0.16666666666666666,0.3,0.26666666666666666,0.26666666666666666
JLRTVX,X,0.6,0,4,11,8,7,30,0.0,0.13333333333333333,0.36666666666666664,0.26666666666666666,0.23333333333333334
JLRTVX,X,0.65,0,5,13,8,4,30,0.0,0.16666666666666666,0.43333333333333335,0.26666666666666666,0.13333333333333333
