K,seed,country,i,j,dist
20,2,Germany,13,19,1.5654595307339336
20,2,Greece,2,0,3.313001481613627
20,2,Hungary,5,0,0.6068392689168965
20,2,Iceland,19,16,2.0897341375913503
20,2,Ireland,19,16,2.314928879376779
20,2,Italy,19,15,1.2701203119637932
20,2,Latvia,3,0,1.6355276901405296
20,2,Lithuania,1,1,1.3858109464814747
20,2,Luxembourg,17,19,3.3396606811523246
20,2,Netherlands,17,19,0.9596633290971147
20,2,Norway,18,16,1.76322608631256
20,2,Poland,3,0,0.8821577224324885
20,2,Portugal,0,8,1.0985794361431076
20,2,Slovakia,2,2,1.1792961073308625
20,2,Slovenia,15,0,1.549138144605151
20,2,Spain,6,10,3.6041749951097692
20,2,Sweden,13,19,1.702106368162672
20,2,Switzerland,17,19,2.2929652988224083
20,2,Ukraine,3,0,4.621557326420903
20,2,United Kingdom,7,18,1.98676731488772
20,3,Austria,18,1,1.2318174516629035
20,3,Belgium,18,1,0.9967567257936614
20,3,Bulgaria,3,19,1.8019570091628432
20,3,Croatia,0,19,1.5117091861605354
20,3,Czech Republic,19,18,1.3427180059971389
20,3,Denmark,18,1,0.7825267495391578
20,3,Estonia,3,19,1.5563262277443508
20,3,Finland,2,0,1.085944370023215
20,3,Germany,9,0,1.621911984494648
20,3,Greece,0,10,2.936612540978978
20,3,Hungary,5,18,0.743858983605685
20,3,Iceland,19,2,1.966458980070159
20,3,Ireland,19,2,2.167894377117053
20,3,Italy,8,0,1.2008604907804483
20,3,Latvia,3,19,1.9009598264064573
20,3,Lithuania,4,19,1.6262385585095083
20,3,Luxembourg,19,2,3.276229536977348
20,3,Netherlands,19,0,1.0511541595991036
20,3,Norway,19,3,1.9286304956296354
20,3,Poland,1,11,0.9228273297536423
20,3,Portugal,0,11,0.860185157470756
20,3,Slovakia,11,19,1.253125510408902
20,3,Slovenia,13,18,1.5377804243929654
20,3,Spain,1,0,3.490035594386013
20,3,Sweden,9,0,1.765875194530054
20,3,Switzerland,19,3,2.5003231826754146
20,3,Ukraine,5,18,4.959562401887908
20,3,United Kingdom,2,0,1.766689981439634
20,4,Austria,17,1,1.7421204400019472
20,4,Belgium,17,1,1.063451255024018
20,4,Bulgaria,18,18,2.151536248934847
20,4,Croatia,1,0,2.291133492841189
20,4,Czech Republic,19,9,1.303318024594757
20,4,Denmark,13,0,1.0727343043548865
20,4,Estonia,18,18,1.8263707213742348
20,4,Finland,0,17,1.087517041806097
20,4,Germany,0,17,1.6851329029594433
20,4,Greece,1,0,2.630636708120773
20,4,Hungary,18,18,0.7496178149779276
20,4,Iceland,16,0,2.498364978395211
20,4,Ireland,8,0,2.166539272259746
20,4,Italy,0,9,1.1494702049304244
20,4,Latvia,19,18,1.7271644600192282
20,4,Lithuania,19,17,1.492756221076817
20,4,Luxembourg,8,0,3.838120014528735
20,4,Netherlands,8,0,1.5270247478654395
20,4,Norway,2,5,2.3767079760860934
20,4,Poland,19,18,1.1783170133196201
20,4,Portugal,0,1,1.0398718181640705
20,4,Slovakia,18,19,1.1635683919222946
20,4,Slovenia,19,3,1.517718126346641
20,4,Spain,0,1,3.271776434876552
20,4,Sweden,0,10,1.9347950794568987
20,4,Switzerland,8,0,3.0087240370516137
20,4,Ukraine,19,18,4.683002581634865
20,4,United Kingdom,0,1,1.5654286618844517
