K,seed,country,i,j,dist
4,0,Netherlands,0,1,1.6547365696661518
4,0,Norway,0,0,2.3954769382796917
4,0,Poland,3,2,1.3133468396546568
4,0,Portugal,3,2,1.1805622090255083
4,0,Slovakia,3,3,1.2576112734729423
4,0,Slovenia,2,3,1.57292831356494
4,0,Spain,0,0,3.564465233797349
4,0,Sweden,0,0,1.7731795656225504
4,0,Switzerland,0,0,3.146613736268966
4,0,Ukraine,3,3,5.378199369154103
4,0,United Kingdom,1,0,1.966037833370718
4,1,Austria,3,0,1.6177423442238184
4,1,Belgium,2,0,1.1315080423312198
4,1,Bulgaria,0,3,2.1443020163073068
4,1,Croatia,0,3,1.9822118518866687
4,1,Czech Republic,3,3,1.4083828775004672
4,1,Denmark,2,0,1.0818611198653516
4,1,Estonia,0,3,1.8211817501703615
4,1,Finland,1,0,1.2898035636554128
4,1,Germany,3,0,1.6640353690275327
4,1,Greece,0,2,3.687114502106654
4,1,Hungary,0,3,0.7047237246932241
4,1,Iceland,3,0,2.233400773198357
4,1,Ireland,3,0,2.2485598937539715
4,1,Italy,3,0,1.2253918025927428
4,1,Latvia,0,3,1.8895604192757705
4,1,Lithuania,0,3,1.526547291905362
4,1,Luxembourg,3,0,3.651873216521164
4,1,Netherlands,3,0,1.381100351769878
4,1,Norway,3,0,2.1514187608136233
4,1,Poland,0,3,1.0581848160027874
4,1,Portugal,0,2,1.142607611588202
4,1,Slovakia,0,3,1.208776102316062
4,1,Slovenia,2,3,1.5556365367119327
4,1,Spain,3,1,3.6023818946125292
4,1,Sweden,3,0,1.7638735361799303
4,1,Switzerland,3,0,2.81310647249896
4,1,Ukraine,0,3,5.1221533088818205
4,1,United Kingdom,0,0,2.0118101747013335
4,2,Austria,3,3,1.4538976682425226
4,2,Belgium,3,3,0.9928781488011732
4,2,Bulgaria,0,0,2.482107194653917
4,2,Croatia,0,0,2.1259369122691596
4,2,Czech Republic,0,3,1.3953249951792484
4,2,Denmark,3,3,0.8802779730517755
4,2,Estonia,0,0,2.2050464891897317
4,2,Finland,3,1,1.2254681478179312
4,2,Germany,3,2,1.659950622145131
4,2,Greece,0,0,3.610573651977893
4,2,Hungary,0,0,1.0855255675546105
4,2,Iceland,3,3,2.2798713874439365
4,2,Ireland,3,3,2.46082129604074
4,2,Italy,3,2,1.37476113847331
4,2,Latvia,0,0,2.2836584117552974
4,2,Lithuania,0,0,1.8020761661530562
4,2,Luxembourg,3,3,3.797777674308413
4,2,Netherlands,3,3,1.447143746362888
4,2,Norway,3,3,2.348674525294665
4,2,Poland,0,0,1.0176927158588092
