K,seed,country,i,j,dist
5,5,Portugal,2,4,0.9528810634906566
5,5,Slovakia,2,2,0.8798617407996865
5,5,Slovenia,0,1,1.0097156988692235
5,5,Spain,0,4,3.2952431486204845
5,5,Sweden,1,2,1.5514404134586126
5,5,Switzerland,0,0,2.5739102942239196
5,5,Ukraine,4,3,5.167224509793796
5,5,United Kingdom,3,4,1.2264271267040976
5,6,Austria,4,0,1.3473650986994736
5,6,Belgium,4,1,0.6595179544257567
5,6,Bulgaria,0,2,2.406146730535124
5,6,Croatia,3,4,1.5397016795568814
5,6,Czech Republic,2,0,1.39302591951303
5,6,Denmark,4,0,0.5768706092890077
5,6,Estonia,0,2,1.9031981684970947
5,6,Finland,4,2,0.7994600173417095
5,6,Germany,4,2,1.237805055575951
5,6,Greece,0,3,2.2284503747953956
5,6,Hungary,0,2,0.806326213392278
5,6,Iceland,2,2,1.5630812581517803
5,6,Ireland,0,0,1.4512725158811286
5,6,Italy,4,2,1.0265421082188493
5,6,Latvia,0,2,1.7267305674606412
5,6,Lithuania,0,2,1.3416119116687473
5,6,Luxembourg,0,0,3.5541396988641627
5,6,Netherlands,4,0,0.9650731143032024
5,6,Norway,3,1,1.7238794025536361
5,6,Poland,3,2,1.1572286751366667
5,6,Portugal,3,0,0.8293551925745957
5,6,Slovakia,0,1,0.7729039259069891
5,6,Slovenia,3,4,1.2469414246225865
5,6,Spain,4,4,1.9729511371498327
5,6,Sweden,4,2,1.262905374577842
5,6,Switzerland,4,0,2.604429062669082
5,6,Ukraine,0,4,2.778303083548787
5,6,United Kingdom,1,4,1.1800970689318924
5,7,Austria,2,3,1.214915296875407
5,7,Belgium,2,3,0.743720137543311
5,7,Bulgaria,1,2,2.182308192766301
5,7,Croatia,3,1,1.5811637891473702
5,7,Czech Republic,3,0,1.145159126009848
5,7,Denmark,0,1,0.7646980230492316
5,7,Estonia,1,2,1.8093100126411221
5,7,Finland,2,1,0.7085300735960058
5,7,Germany,4,1,1.108014077943552
5,7,Greece,4,2,2.285371966019793
5,7,Hungary,1,2,0.8066376576708967
5,7,Iceland,0,4,2.1361347600967635
5,7,Ireland,0,4,2.1429209667455527
5,7,Italy,3,4,0.8915794216779509
5,7,Latvia,1,2,1.9960055457554782
5,7,Lithuania,1,2,1.711053207602058
5,7,Luxembourg,0,4,2.4552247494216464
5,7,Netherlands,0,3,1.0055642473911084
5,7,Norway,0,3,2.107523135045122
