eta_inicial,grilla,seed,country,i,j,dist
0.1,hexagonal,6,Bulgaria,0,2,2.3877142383287424
0.1,hexagonal,6,Croatia,1,0,2.0755040709306383
0.1,hexagonal,6,Czech Republic,2,1,1.5135937182163475
0.1,hexagonal,6,Denmark,2,0,1.351079692866662
0.1,hexagonal,6,Estonia,0,2,1.9233614801944836
0.1,hexagonal,6,Finland,2,0,1.1009374604158697
0.1,hexagonal,6,Germany,2,0,1.3501092383603635
0.1,hexagonal,6,Greece,1,0,2.4556602548921784
0.1,hexagonal,6,Hungary,0,2,0.7808412592197252
0.1,hexagonal,6,Iceland,0,0,2.162862770287917
0.1,hexagonal,6,Ireland,0,0,1.575416288593292
0.1,hexagonal,6,Italy,2,0,1.2703530419066467
0.1,hexagonal,6,Latvia,0,2,1.784670893515261
0.1,hexagonal,6,Lithuania,0,2,1.3882098194020618
0.1,hexagonal,6,Luxembourg,0,0,3.7071562573339265
0.1,hexagonal,6,Netherlands,2,0,1.4586769725363589
0.1,hexagonal,6,Norway,2,0,1.659288387696676
0.1,hexagonal,6,Poland,1,1,1.1488047229505636
0.1,hexagonal,6,Portugal,1,0,0.8200429341860691
0.1,hexagonal,6,Slovakia,0,1,0.8931374373313317
0.1,hexagonal,6,Slovenia,2,1,1.58783959388974
0.1,hexagonal,6,Spain,2,2,3.2858066205401624
0.1,hexagonal,6,Sweden,2,0,1.5740418032516743
